10000	Description of a thing
10011	News+Opinion blogs / Editorials
10015	Discussion forums
10022	Personal opinion blogs
10024	News reports / news blogs
10045	Description of a person
10047	Description with intent to sell
10050	Description with intent to sell
10053	Discussion forums
10063	News reports / news blogs
10081	Description with intent to sell
10082	Community blogs
10091	Personal opinion blogs
10092	News reports / news blogs
10111	Sports reports
10144	Description of a thing
10163	Machine-translated / generated texts
10165	Description of a person
10173	Description with intent to sell
10179	Description of a thing
1020425	Machine-translated / generated texts
10205	Description with intent to sell
10275	Description with intent to sell
10276	Personal blog
10303	How-to/instructions
10320	Description with intent to sell
10324	News+Opinion blogs / Editorials
10327	News reports / news blogs
10356	Personal blog
10363	News reports / news blogs
10369	Community blogs
10387	Personal blog
10398	News reports / news blogs
10402	Sports reports
10403	Description with intent to sell
10411	Description of a thing
10414	Personal blog
10426	Description of a person
1044417	Machine-translated / generated texts
10458	News reports / news blogs
10468	News reports / news blogs
10473	Encyclopedia articles
10488	How-to/instructions
10497	News+Opinion blogs / Editorials
10500	Description with intent to sell
10508	Description of a thing
10524	Question-Answer forums
10529	Description with intent to sell
10534	News reports / news blogs
10544	Discussion forums
10558	Historical article
10566	Description with intent to sell
10567	Description with intent to sell
10577	Description with intent to sell
10591	Personal opinion blogs
10605	Description of a person
1061679	Machine-translated / generated texts
10617	Description with intent to sell
10621	Description of a thing
10622	Description of a thing
10628	News reports / news blogs
10629	Personal blog
10635	Discussion forums
10646	News+Opinion blogs / Editorials
10648	Description with intent to sell
10651	Community blogs
10654	Personal blog
10655	Reviews
10668	Discussion forums
10670	How-to/instructions
10681	Sports reports
10691	Discussion forums
10693	Description with intent to sell
10695	Description with intent to sell
10697	Travel blog
10702	Description with intent to sell
10704	How-to/instructions
10710	How-to/instructions
10711	Discussion forums
10715	Fiction
10722	Community blogs
10741	How-to/instructions
10751	Description with intent to sell
10755	Personal opinion blogs
10757	Description with intent to sell
10775	Personal blog
10776	How-to/instructions
10779	News reports / news blogs
10784	How-to/instructions
1078434	Sports reports
10797	Discussion forums
10805	News reports / news blogs
10809	Discussion forums
10810	How-to/instructions
1082645	Discussion forums
1083919	Personal blog
10850	Community blogs
